Title	URL	Assignees	Priority	Estimate Size	Labels	Milestone	Actual Size
Integrate phosphor markers	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/188	Lucas-Nan		1	feature, frontend		1
Watch a video provided by AMOS team about  well-run team meeting	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/83	dancingsushii, op-hub	P2	1	organizational		
Add support for satellite image in map	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/119	Lucas-Nan	P1	2	feature, frontend	Building time machine 	2
Switch between satellite view and normal view	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/189	Lucas-Nan		1	feature, frontend		1
Update the CI-CD for the new BE	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/139				devops, feature		
Change map controll button visibility	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/210		P1		bug, frontend		
Extend API Endpoints for Hausumringe	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/151		P1	3	backend, feature, frontend		
Ingest Hausumringe Bavaria	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/145		P0		Epic		
Ingest ALKIS-Tatsächliche Nutzung	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/156		P0		Epic		
Improve map location relevance	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/193		P0		Epic		
Selecting custom Polygons	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/197		P0		Epic		
FE search and display polygon for specific region	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/195		P1		feature, frontend		
FE boundary for germany	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/194		P0		feature, frontend		
FE centering map on germany	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/201		P0		feature, frontend		
FE Searching: Only germany	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/196		P0		feature, frontend		
Adopt sustainability data for user view	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/102		P0		backend, feature, frontend	Automated energy assessment	
Search bar: Cache and bookmarking	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/62		P1		feature, frontend		
Solar potential assessment tool	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/104		P0		backend, feature, frontend		
Automated district energy assessment tool	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/103		P1		backend, feature, frontend		
Implement basic BE CI	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/52	Corgam	P2	2	backend, devops, feature		2
Additional map controls	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/116		P2		backend, feature, frontend		
Implement shapefile data importer for database integration	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/146	Ahsankkhan, nicolasbandel		5	backend, feature		
Polishing Frontend	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/173	CelineMP, Corgam, Lucas-Nan		5	Epic, frontend		
Trigger Data view only on button press	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/66	Lucas-Nan	P2	1	feature, frontend		
Display Hausumringe in FE	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/147	Lucas-Nan		3	feature, frontend		
Improve display of markers for zoomed out maps	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/199	Lucas-Nan		3	feature, frontend		
Map interaction from search	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/183	Lucas-Nan	P1	2	feature, frontend		
Ingest ALKIS-Parzellarkarte	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/155		P2		Epic	Substainability certification 	
Create GeoPackage importer	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/157				backend, feature		
Display Tatsächliche Nutzung (actual use) in FE	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/158				feature, frontend		
Extend API Endpoints for Tatsächliche Nutzung (actual use)	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/159				backend, feature, frontend		
Create CityGML parser	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/161				backend, feature		
Display LoD2 data in FE	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/162				feature, frontend		
Extend API endpoints for LoD2 data	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/163				backend, feature, frontend		
Ensure pin doesnt switch tabs	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/212				bug		
Clean Up data view	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/214						
Rework the datasets tab, add metadata for datasets and main menu	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/215	Corgam	P1	2	feature, frontend		2
Fix connection between FE and BE	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/213	Corgam	P0	5	bug, devops		5
Extend YAML handling to shapefiles	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/206		P0		backend, feature		
Extend data pipeline to handle zip files	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/207		P0		backend, feature		
Add linting and testing to backend	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/208		P0		backend, feature		
Execute data pipeline on test environment via SSH	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/209		P0		backend, feature		
Open as map functionality	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/185		P1		feature, frontend		
Data loading by location	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/184		P1		feature, frontend		
Implementation of a unified search interface	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/181	CelineMP	P1	2	feature, frontend		
Irrelevant search results for query "1" in DataView	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/182	CelineMP	P1	2	bug, frontend		
Create build process video and upload to Deliverables folder	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/84	Corgam	P0		devops, organizational		
Make padding displaying correctly	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/168	CelineMP	P1	1	bug, frontend		
Agree on project-specific definition of done for feature, sprint, and project release	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/89	op-hub	P0		organizational		
Reset input fields when switching search modes	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/178	CelineMP	P1	1	bug, frontend		
Persistent input in search popup	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/179	CelineMP	P1	1	bug, frontend		
Enhance search suggestion relevancy	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/180	CelineMP		2	feature, frontend		
Improve searching by adding suggestions	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/115	CelineMP	P2	3	backend, feature, frontend		
Improve Satellite view perfomance and visualization	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/200	Lucas-Nan		2	feature, frontend		
Update data sources documentation	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/167	dancingsushii	P0	3	organizational		
Research additional datasets	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/166		P1		feature		
Ingest bavarian LoD2 data	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/160		P2	0	Epic	Solar potential	
Automate workflow with GitHub Actions	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/28	Corgam	P0	3	devops, feature		3
Create video recording and documentation about build process	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/81	Corgam	P0	2	devops, organizational		1
Research Github Actions constraints	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/29	Corgam	P0	2	devops, feature		2
Simplify .env file	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/69	Corgam	P1	1	devops, feature		0
Tag sprint candidate	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/68	Corgam	P0	2	devops, feature		2
Setup deployment pipeline/branches	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/30	Corgam	P0	3	devops, feature		2
Create basic layout for main UI interface	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/73	Corgam	P0	2	feature, frontend		1
Create multimap view component	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/60	Corgam	P0	3	feature, frontend		3
Technology Research (Map APIs)	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/15	CelineMP	P0	3	feature, frontend		1
Create basic data view component	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/61	CelineMP	P0	3	feature, frontend		3
Discuss Labels and Milestones	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/19	dancingsushii, op-hub	P1		organizational		
Allow building of Backend Projects with command line	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/128	Superschnizel		2	backend, devops, feature		3
Create endpoint to request datapoints for an area	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/131	Superschnizel		5	backend, feature		8
Integrate dockerfiles in docker compose	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/132	Ahsankkhan		3	devops, feature		3
Implement search by coordinate	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/101	CelineMP	P0	3	backend, feature, frontend		3
FE filtering changes data entries	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/117	CelineMP	P2	1	bug, frontend		1
Create architecture / system design for fe components	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/135	Lucas-Nan		3	feature, frontend		3
Marker for points (as map features)	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/165	Lucas-Nan		3	frontend		3
Compose and finish the UI of the FE	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/113	CelineMP, Corgam, Lucas-Nan	P0	3	feature, frontend		5
Fix pinning of the tabs going crazy after deleting some tabs	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/112	Corgam	P0	1	bug, frontend		1
Develop YAML Parser	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/56	Superschnizel	P0	5	backend, feature		2
Develop CSV parser	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/57	nicolasbandel	P0	5	backend, feature		5
Dockefile for data pipeline	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/71	Ahsankkhan	P0	3	backend, feature		3
Configure database connection	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/58	Ahsankkhan	P0	3	backend, feature		3
Compose the FE 2 - Context and states	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/138	Corgam		3	feature, frontend		3
Dockerfile for database	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/70	Ahsankkhan	P2	3	backend, feature		5
Decide on API endpoints - to have one hour meeting	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/17	Corgam, dancingsushii, Lucas-Nan, op-hub	P2	5	backend, feature, frontend		5
Clarify preferred storage for meeting notes with Prof. Riehle	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/59	op-hub	P2	1	organizational		
Upload deliverables Sprint 3	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/75	op-hub	P0		organizational		
Create map component from OSM	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/77	Lucas-Nan	P0	3	feature, frontend		3
Create pop-up with favourites	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/80	Lucas-Nan	P0	2	feature, frontend		2
Create generic pop-up container	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/79	Lucas-Nan	P0	1	feature, frontend		1
Research and prototype on Geospatial Database	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/170	Ahsankkhan	P0	5	backend, feature		0
Agree on product vision and mission	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/88	dancingsushii, op-hub	P0		organizational		
Datapipeline crashes while used in docker container	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/172	Superschnizel	P0	5	backend, bug		5
Add discard_if_empty attribute to yaml.	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/130	nicolasbandel			backend		
Crash on special character	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/124	nicolasbandel		1	backend, bug		1
Compose the FE 1- Composition and Style	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/137	Corgam		3	feature, frontend		3
Row mapping/filtering	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/74	nicolasbandel	P0	3	backend, feature		3
Create mid-project release plan	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/90	dancingsushii, op-hub	P0		devops, organizational		
Update GitHub README.md	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/85		P1		organizational		
Clarify open source scope of the project with Prof. Riele	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/31	dancingsushii	P1		organizational		
Create 3d view component	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/78	CelineMP	P0	5	feature, frontend		
Persistent suggestions in search field	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/177	CelineMP	P1	3	bug, frontend		
Transfer all meeting notes and other relevant documentation to GitHub	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/25	dancingsushii	P0	2	organizational		
Review notes from IP meeting and develop PO's concept	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/82	dancingsushii	P0	2	organizational		
Documentation - FE technology	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/21	Lucas-Nan	P0	1	feature, frontend		1
Research on FE RestAPI requirements	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/16	Lucas-Nan	P1	3	feature, frontend		2
Setup basic React + NodeJS frontend	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/14	CelineMP	P0	2	feature, frontend		1
Create FE Concept	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/18	CelineMP, dancingsushii, Lucas-Nan, op-hub	P0	3	feature, frontend		5
Create boilerplate API project	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/38	Ahsankkhan	P0	5	backend, feature		3
Ingest Data [2]	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/35	Ahsankkhan, Superschnizel	P0	3	backend, feature		3
Request Deutsche Bahn dataset	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/37	Superschnizel	P0	1	backend, bug, feature		1
API project docker file	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/54	Ahsankkhan	P0	3	backend, devops, feature		3
Ingest data [3]	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/36	nicolasbandel	P0	3	backend, feature		3
Ingest Data [1]	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/34	Superschnizel	P0	3	backend, feature		2
Get Backend container running	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/27	Corgam	P0	2	backend, devops, feature		2
Documentation -  CI/CD technology	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/23	Corgam	P1	1	devops, feature		1
Get FE container running	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/26	Corgam	P0	2	devops, feature, frontend		2
Initialize Github Wiki	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/20	Corgam	P0	1	feature		1
